latitude,longitude,latitude_CBD,longitude_CBD,distance_to_CBD,rents per bedroom/week
51.56822,-0.11266,51.515243,-0.141953,6731.32256,$125.00 
51.50803,-0.21599,51.515243,-0.141953,8271.520671,$125.00 
51.5305,-0.06098,51.515243,-0.141953,9162.2265,$125.00 
51.52463,-0.20135,51.515243,-0.141953,6686.618717,$125.00 
51.49267,-0.18924,51.515243,-0.141953,5826.442891,$125.00 
51.50653,-0.19336,51.515243,-0.141953,5797.7237,$125.00 
51.52015,-0.17529,51.515243,-0.141953,3746.849002,$125.00 
51.51146,-0.14437,51.515243,-0.141953,499.1762127,$125.00 
51.48606,-0.1243,51.515243,-0.141953,3792.502381,$126.00 
51.51529,-0.12353,51.515243,-0.141953,2048.552086,$127.00 
51.51885,-0.12714,51.515243,-0.141953,1695.260091,$127.00 
51.51061,-0.06646,51.515243,-0.141953,8410.236853,$128.00 
51.46026,-0.12706,51.515243,-0.141953,6334.130883,$128.00 
51.51326,-0.13357,51.515243,-0.141953,957.8721705,$129.00 
51.49625,-0.15497,51.515243,-0.141953,2560.320509,$129.00 
51.50967,-0.07814,51.515243,-0.141953,7122.694632,$130.00 
51.51897,-0.12375,51.515243,-0.141953,2066.072674,$130.00 
51.51797,-0.13925,51.515243,-0.141953,426.9467108,$130.00 
51.51642,-0.13937,51.515243,-0.141953,315.6294958,$135.00 
51.52066,-0.15774,51.515243,-0.141953,1855.900906,$135.00 
51.51164,-0.20278,51.515243,-0.141953,6775.513048,$137.50 
51.53323,-0.00977,51.515243,-0.141953,14833.54491,$137.50 
51.52857,-0.13631,51.515243,-0.141953,1609.262351,$137.50 
51.46958,-0.13004,51.515243,-0.141953,5247.435967,$138.00 
51.49078,-0.13961,51.515243,-0.141953,2732.603102,$139.00 
51.51233,-0.16783,51.515243,-0.141953,2895.566868,$140.00 
51.52207,-0.15998,51.515243,-0.141953,2143.441242,$140.00 
51.53968,-0.15643,51.515243,-0.141953,3158.302094,$140.00 
51.5244,-0.10233,51.515243,-0.141953,4522.004683,$140.00 
51.49343,-0.16549,51.515243,-0.141953,3568.291215,$140.00 
51.49923,-0.16745,51.515243,-0.141953,3347.894637,$140.00 
51.51543,-0.12517,51.515243,-0.141953,1866.301464,$145.00 
51.46828,-0.05429,51.515243,-0.141953,11058.35383,$145.00 
51.51776,-0.16926,51.515243,-0.141953,3049.273127,$145.00 
51.51878,-0.15786,51.515243,-0.141953,1811.97671,$145.00 
51.51917,-0.15822,51.515243,-0.141953,1860.769446,$145.00 
51.52263,-0.14044,51.515243,-0.141953,838.4472157,$145.00 
51.51223,-0.11891,51.515243,-0.141953,2584.07693,$146.00 
51.51236,-0.13271,51.515243,-0.141953,1076.610452,$147.33 
51.52237,-0.14074,51.515243,-0.141953,803.8805453,$149.00 
51.49929,-0.08871,51.515243,-0.141953,6180.396205,$149.00 
51.51908,-0.13906,51.515243,-0.141953,534.3371546,$150.00 
51.52093,-0.15227,51.515243,-0.141953,1309.942327,$150.00 
51.51086,-0.12832,51.515243,-0.141953,1592.339067,$150.00 
51.50105,-0.12954,51.515243,-0.141953,2096.616344,$150.00 
51.48785,-0.15107,51.515243,-0.141953,3210.22655,$150.00 
51.47955,-0.21285,51.515243,-0.141953,8826.079485,$150.00 
51.49951,-0.19693,51.515243,-0.141953,6358.56013,$150.00 
51.52066,-0.17512,51.515243,-0.141953,3736.869126,$150.00 
51.51344,-0.11972,51.515243,-0.141953,2480.314215,$150.00 
51.5233,-0.14119,51.515243,-0.141953,899.9036812,$150.00 
51.51951,-0.13472,51.515243,-0.141953,933.7962046,$150.00 
51.51385,-0.18258,51.515243,-0.141953,4520.173792,$151.00 
51.51002,-0.12207,51.515243,-0.141953,2285.897868,$153.00 
51.52081,-0.12323,51.515243,-0.141953,2171.98321,$155.00 
51.5203,-0.15739,51.515243,-0.141953,1806.273732,$155.00 
51.5194,-0.11084,51.515243,-0.141953,3490.352938,$159.00 
51.51901,-0.11209,51.515243,-0.141953,3346.930611,$159.00 
51.51035,-0.1289,51.515243,-0.141953,1550.052415,$159.00 
51.51688,-0.10351,51.515243,-0.141953,4278.543049,$162.00 
51.49261,-0.16526,51.515243,-0.141953,3612.493688,$165.00 
